osm_id,name,lat,lon,region,federal_district,cluster,cluster_name,dist_to_region_center_km,dist_to_moscow_km,federal_district_code,gps_density_5km,grp_per_capita_2021,population_2021,urban_pct
590862324,Глубоковская средняя общеобразовательная школа,52.9900372,80.6839406,Altay,СФО,6,Кластер 7,192.29059139815467,2760.809089172393,7,8197,278,2298,58
591035190,Орлеанская основная общеобразовательная школа,52.6845359,79.5913561,Altay,СФО,6,Кластер 7,242.8637137620741,2707.5180022288955,7,23,278,2298,58
591052917,Байгамутская национальная казахская средняя общеобразовательная школа,52.6398453,79.7037573,Altay,СФО,6,Кластер 7,234.12387520711465,2716.4684835404228,7,101,278,2298,58
591052930,Яготинская средняя общеобразовательная школа,52.74785,79.6305756,Altay,СФО,6,Кластер 7,242.66031791717555,2707.06168484256,7,23,278,2298,58
591076171,Тельманская основная общеобразовательная школа,52.7979316,79.5438157,Altay,СФО,6,Кластер 7,250.064016072216,2699.4683542198068,7,0,278,2298,58
591328030,Большаковская средняя общеобразовательная школа,55.4298292,72.5366911,Omsk,СФО,4,Кластер 5,72.00297868667637,2171.0372031669235,7,794,364,1944,72
591492797,Леньковская Средняя общеобразовательная школа № 2,52.9315749,80.4584114,Altay,СФО,6,Кластер 7,201.2627057749752,2749.6129534070055,7,2758,278,2298,58
591504166,Новокуликовская основная школа (закрыта),52.995873,80.5660349,Altay,СФО,6,Кластер 7,199.11781060849435,2753.3250784320953,7,1005,278,2298,58
591713897,Тамбовская средняя общеобразовательная школа,52.6521684,80.984268,Altay,СФО,6,Кластер 7,155.0368308407089,2794.595395508385,7,0,278,2298,58
591756654,Дубровинская основная общеобразовательная школа,52.6758954,80.8729195,Altay,СФО,6,Кластер 7,162.88733962137323,2786.6680764296707,7,0,278,2298,58
591906460,Казанцевская основная общеобразовательная школа,52.6570813,81.4401216,Altay,СФО,6,Кластер 7,129.42394700783748,2822.331031182706,7,3002,278,2298,58
592184090,Чернавская средняя общеобразовательная школа,52.6662866,80.6102742,Altay,СФО,6,Кластер 7,178.19519857527786,2770.985097830784,7,434,278,2298,58
592287865,Александровская начальная общеобразовательная школа,52.6889659,80.6880918,Altay,СФО,6,Кластер 7,174.59369456253302,2774.7220232385653,7,249,278,2298,58
592305718,Камышенская средняя общеобразовательная школа,52.6993308,80.6075538,Altay,СФО,6,Кластер 7,179.96234599894433,2769.3021258509725,7,434,278,2298,58
592573060,Тумановская основная общеобразовательная школа,52.8532224,80.6887467,Altay,СФО,6,Кластер 7,183.53869655773613,2767.271190260099,7,1898,278,2298,58
592782225,Краснодубровская основная общеобразовательная школа,52.9172545,80.7830796,Altay,СФО,6,Кластер 7,182.18906319155175,2770.1570816503886,7,380,278,2298,58
592794330,Школа-интернат,55.4399574,78.2915613,Novosibirsk,СФО,4,Кластер 5,296.871206583584,2518.601204864498,7,85570,430,2798,79
593349147,Облепихинская Основная Общеобразовательная школа,55.6634255,98.4512925,Irkutsk,СФО,3,Кластер 4,535.192223449798,3685.66757873648,7,3985,607,2375,79
